Child,Smile,Female,Male,PeopleNumber,Text,close_up,Indoors,Outdoors,dominantColor,LOGO,Followers at Posting,Total Interactions,Contrast,ANGRY,CALM,CONFUSED,DISGUSTED,FEAR,HAPPY,SAD,SURPRISED
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,grey,1,6885756,33324,HIGH,0,0,0,0,0,0,1,0
FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,TRUE,grey,1,6892638,34263,HIGH,0,0,0,0,0,0,1,0
FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,6879120,19765,HIGH,0,0,0,0,0,0,0,0
FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,grey,1,6885756,36632,HIGH,0,0,0,0,0,0,0,0
TRUE,TRUE,FALSE,TRUE,1,TRUE,FALSE,FALSE,FALSE,orange,1,6885756,25333,LOW,0,0,0,0,0,0,0,0
FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,brown,1,6879120,35103,HIGH,0,1,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,6904064,27465,HIGH,0,0,0,0,0,0,0,0
FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,6898172,37091,HIGH,0,0,0,0,0,1,0,0
FALSE,TRUE,FALSE,TRUE,1,TRUE,FALSE,FALSE,FALSE,green,1,6898172,17801,LOW,0,0,0,0,0,0,0,0
FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,blue,1,6916330,24831,LOW,0,0,0,0,0,0,0,0
FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,6904064,26462,HIGH,0,0,0,0,1,0,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,grey,1,6910168,18669,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,grey,1,6923239,19914,HIGH,0,1,0,0,0,1,1,1
FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,brown,1,6930430,26499,HIGH,0,0,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,6949232,26095,HIGH,0,0,0,0,0,0,0,1
TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,brown,1,6936916,25251,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,brown,1,6943397,12906,HIGH,0,0,0,0,0,0,0,0
FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,blue,1,6943397,24732,LOW,0,0,0,0,0,0,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,6930430,22359,HIGH,0,0,0,0,0,0,0,0
FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,blue,1,6936916,17078,HIGH,0,0,0,0,0,0,0,0
FALSE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,blue,1,6949232,14782,HIGH,0,0,0,0,0,1,0,0
FALSE,TRUE,FALSE,TRUE,1,TRUE,FALSE,FALSE,FALSE,blue,1,6957882,14880,HIGH,0,1,0,0,0,0,0,0
TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,TRUE,blue,1,6936916,13259,HIGH,1,1,0,0,0,0,0,0
FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,white,1,6957882,19251,LOW,0,0,0,0,0,0,0,0
FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,6943397,15487,HIGH,0,0,1,0,0,0,0,0
FALSE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,blue,1,6970427,17454,HIGH,0,1,0,0,0,0,0,0
FALSE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,grey,1,6964369,13616,HIGH,0,0,0,0,0,0,0,0
FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,grey,1,6975527,18410,HIGH,0,0,0,0,0,0,1,0
TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,FALSE,blue,1,6975527,13706,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,cyan,1,6981188,18499,HIGH,0,0,0,0,0,0,0,0
FALSE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,yellow,1,6970427,38077,HIGH,0,0,0,0,0,0,0,0
TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,grey,1,6975527,30324,LOW,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,cyan,1,6970427,27675,HIGH,0,1,0,0,0,0,0,0
TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,brown,1,6992793,15727,HIGH,0,0,0,0,0,1,0,0
TRUE,TRUE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,grey,1,6986825,19442,LOW,0,1,0,0,1,1,0,0
TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,grey,1,6981188,19533,HIGH,0,0,0,0,1,0,0,0
FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,grey,1,6986825,15697,HIGH,0,1,0,0,0,0,1,0
FALSE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,blue,1,6981188,15384,HIGH,0,1,0,0,0,0,0,0
