image_id,Child,Smile,Female,Male,PeopleNumber,Text,close_up,Indoors,Outdoors,dominantColor,Page Name,User Name,Facebook Id,Page Category,LOGO,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Contrast,ANGRY,CALM,CONFUSED,DISGUSTED,FEAR,HAPPY,SAD,SURPRISED
4.77E+15,0,1,0,1,1,0,0,0,0,brown,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7922,8328,2021-06-08 03:16:17 EDT,08-06-21 0:00,3:16:17,Photo,54,37,1,6,9,0,0,0,0,1,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4773987049296031,"Per Heggenes, CEO of our invaluable partner IKEA Foundation, and chairman of our Advisory Board visited us in Athens. Thanks to IKEA Foundation's extraordinary support this far The HOME Project has provided a safe home to more than 600 lone refugee children. Per’s genuine care and steadfast leadership inspires us to continue our work into the future. Children and staff caught up with Per and his wife Karen during a wonderful picnic at the National Garden. Per and Karen, our Home is your Home! #nochildalone",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4773984325962970/?type=3,,,Photos from The HOME Project's post,,,,,-1.33,HIGH,0,0,0,0,0,1,0,0
4.78E+15,0,0,0,0,0,0,0,0,1,grey,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7925,8334,2021-06-10 03:51:27 EDT,10-06-21 0:00,3:51:27,Photo,30,25,0,0,4,0,0,0,0,1,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4779885758706160,"Children under The HOME Project care decided to decorate a shelter’s wall by cultivating fresh herbs and plants. Through our work, we remain dedicated to motivating children and ensuring a healthy and healing environment for all of them. #nochildalone",https://www.facebook.com/HomeProjectOrg/photos/a.1818995121461920/4779885425372860/?type=3,,,,,,,,-2.4,HIGH,0,0,0,0,0,0,0,0
4.78E+15,0,0,0,0,0,0,0,0,0,blue,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7925,8334,2021-06-11 04:07:13 EDT,11-06-21 0:00,4:07:13,Photo,58,43,0,3,12,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4782825565078846,"A girl from our shelter for unaccompanied minor girls and minor mothers with their babies has been accepted to be relocated to France, who was staying with us for a long time. The HOME Project staff and girls under our care surprised her with a farewell walk. We continue our efforts in providing the most healing and nurturing conditions for these children and we are looking forward to seeing them opening their wings and creating their own future. #nochildalone",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4782825178412218/?type=3,,,,,,,,-1.24,HIGH,0,0,0,0,0,0,0,0
4.79E+15,0,0,0,0,0,1,0,0,0,brown,The New York Society for the Prevention of Cruelty to Children (NYSPCC),NYSPCC,1.89E+14,,0,,,,,,2020-12-09 13:27:24 EST,09-12-20 0:00,13:27:24,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/189223837818268/posts/4790195884387684,There is still time to get amazing items from The NYSPCC Junior Society’s Online Auction! Head to nyspcc.org/juniorsociety for the information. All the proceeds on the auction go to The NYSPCC. . . . . . . . . . #nyspcc #children #endchildabuse #endchildabusenow #saveachild #endabuse #WeCanPrevent #LetKidsBeKids #endit,https://www.facebook.com/NYSPCC/photos/a.2758585214215438/4790195797721026/?type=3,,MANGO MANGO The NYSPCC Junior Society Online Auction There's still time to grab amazing items.from UGG Usual Wine MANGO and more!,,,,,,-22,HIGH,0,0,0,0,0,0,0,0
4.79E+15,0,1,1,0,2,0,0,1,0,brown,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7927,8337,2021-06-14 03:35:20 EDT,14-06-21 0:00,3:35:20,Photo,26,21,0,0,5,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4791330334228369,"Minor girls under our care have found dance as a source of relaxation and a way of expressing their feelings. Through dance classes, they also bond as a community, reduce their stress and maintain a healthy body and mind. #nochildalone #dance",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4791328434228559/?type=3,,,,,,,,-2.77,HIGH,0,0,0,0,0,0,0,0
4.80E+15,0,1,1,1,2,0,0,0,1,cyan,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7929,8339,2021-06-16 04:12:38 EDT,16-06-21 0:00,4:12:38,Photo,25,22,0,0,3,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4796910580337011,"Taking all the appropriate safety precautions, children under our care had a nice evening out playing soccer at the park. Sports activities give the chance to children to learn the value of team spirit, friendship, and respect both in sports and life. #nochildalone",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4796910183670384/?type=3,,,,,,,,-2.88,HIGH,0,0,0,0,0,0,1,0
4.80E+15,0,0,0,0,0,0,0,0,0,grey,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7929,8339,2021-06-17 03:37:35 EDT,17-06-21 0:00,3:37:35,Photo,22,16,0,1,4,0,0,0,0,1,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4799678186726917,"One of The HOME Project child protection model fundamental pillars is our pedagogical support, emphasizing the participation of activities within the shelter such as cooking a meal together. We are amazed by our children’s creativity who decided to prepare their handmade fresh pasta. #nochildalone",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4799677193393683/?type=3,,,,,,,,-3.27,HIGH,0,0,0,0,0,0,0,0
4.80E+15,0,1,1,1,2,0,0,0,1,cyan,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7929,8338,2021-06-18 05:14:50 EDT,18-06-21 0:00,5:14:50,Photo,35,26,0,3,5,0,0,0,0,1,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4802626349765434,"We are grateful to Wael Habbal, Co-founder and Director of The Syrian & Greek Youth Forum / SGYF and #CuringtheLimbo for inviting children under The HOME Project care to a wonderful day in nature. Children enjoyed sports and being welcomed in such a strong community. These experiences promote and teach our children the value of team spirit, friendship and respect both in sports and in life. #nochildalone",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4802625996432136/?type=3,,,Photos from The HOME Project's post,,,,,-2.06,HIGH,0,1,0,0,0,0,0,0
4.82E+15,0,1,0,1,1,0,0,0,0,cyan,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7943,8353,2021-06-25 03:56:56 EDT,25-06-21 0:00,3:56:56,Photo,25,22,0,0,3,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4822630187765050,"Girls under our care, from our shelter for unaccompanied minor girls and minor mothers with their babies, spent an afternoon at The Benaki Museum and took the chance to see important artifacts that unfold Greek history. Part of The HOME Project mission is to create a safe environment for the children where they can feel welcomed in our country and get familiar with its culture. #nochildalone",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4822629991098403/?type=3,,,,,,,,-2.88,HIGH,0,0,0,0,0,0,0,0
4.83E+15,0,1,0,1,1,0,0,0,0,grey,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7944,8355,2021-06-28 02:51:42 EDT,28-06-21 0:00,2:51:42,Photo,91,71,5,0,13,0,0,0,0,2,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4831077203587015,We are thrilled to welcome back from his first year at Sciences Po our Youth Ambassador Amadou Diallo. He is now working as an intern at our offices supporting daily operations and our youth engagement program while visiting our shelters and sharing his experience with children and youth under our care. #nochildalone,https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4831076716920397/?type=3,,,,,,,,1.26,LOW,0,0,0,0,0,1,0,0
4.83E+15,0,0,0,0,0,0,0,0,1,grey,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7945,8355,2021-06-29 03:56:54 EDT,29-06-21 0:00,3:56:54,Photo,40,35,0,0,5,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4834455156582553,"Despite the end of the school year, girls under our care continue their education by having lessons at the back yard of The HOME Project shelter, which is operated in collaboration with Movement On The Ground. After a difficult year with online lessons attendance, offering educational opportunities in a safe environment is vital not only for children’s skills empowerment but also for their social integration. We wish at the next academic year all students return in person to schools with safety. #nochildalone",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4834454996582569/?type=3,,,,,,,,-1.8,HIGH,0,0,0,0,0,0,0,0
4.84E+15,0,1,1,1,2,0,0,0,0,grey,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7946,8356,2021-06-30 03:44:59 EDT,30-06-21 0:00,3:44:59,Photo,102,70,0,8,23,0,0,0,0,1,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4837504286277640,"Very proud for Afzal and Aji, who came as unaccompanied minors to our shelters and now- as young adults- have been hired by ACS Athens (American Community Schools) to work at the school’s bookstore. A big thank you to ACS Athens (American Community Schools) staff and Julia Tokatlidou, Dean of Academics for being next to us at every step of this journey trying to provide equal access to opportunities for children and youth under our care. #nochildalone #educationforall #socialintegration",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4837503516277717/?type=3,,,,,,,,1.42,HIGH,0,0,0,0,1,0,0,0
4.85E+15,1,1,1,1,2,0,0,0,0,brown,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7955,8366,2021-07-05 04:51:41 EDT,05-07-21 0:00,4:51:41,Photo,87,70,0,7,10,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4852112988150103,"A big thank you to Skopelos island and its people who welcomed the girls and minor mothers of The HOME Project ""Pugad"" shelter, along with our staff's supervision. We want to extend our gratitude to Eleni Svyriadis and her family for their warm hospitality at Skopelos Village Hotel. We were thrilled and incredibly thankful to the strong community of support we experienced from individuals, restaurants and local authorities who made our children feel safe and enjoy their visit. Thanks to Anes Ferries, ΚΤΕΛ Ν. Ευβοίας, Στου Δημητράκη, Apanemo Restaurant & Beach Bar, Korali Restaurant / Κοράλι Εστιατόριο / Αγνώντας Σκόπελος, #themusesrestaurant, #amvrosiasweets, #yannistaverna #nochildalone",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4852112744816794/?type=3,,,,,,,,1.21,HIGH,0,1,0,0,1,1,0,0
4.85E+15,0,1,1,1,2,1,0,0,0,grey,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7956,8368,2021-07-06 03:17:02 EDT,06-07-21 0:00,3:17:02,Photo,27,24,0,0,3,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4854746904553378,Our June Newsletter has just been released. Please check it out with the link below and subscribe to receive it every month. #nochildalone https://mailchi.mp/9b9a793d78bb/june-2021-newsletter,https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4854746767886725/?type=3,,,,,,,,-2.67,HIGH,0,0,0,0,0,1,0,0
4.86E+15,0,1,1,0,2,1,0,0,0,grey,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7956,8368,2021-07-07 03:39:24 EDT,07-07-21 0:00,3:39:24,Photo,38,30,0,2,6,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4857683450926390,"A big thank you to Ioannis Dimitriou and Yinyang Clinic for their invaluable support via acupuncture and osteopathy therapy sessions for children under our care and staff, as part of our plan for the reduction of stress and improvement of the well-being in the workplace. We are grateful for their contribution in our continuous efforts to create and sustain healing environments for The HOME Project community. #nochildalone",https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4857697890924946/?type=3,,,,,,,,-1.89,HIGH,0,1,0,0,1,0,0,0
4.86E+15,0,0,0,0,0,0,0,0,1,cyan,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7958,8371,2021-07-08 03:35:55 EDT,08-07-21 0:00,3:35:55,Photo,29,25,0,1,3,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4860743990620336,Teenage boys under our care participated in a cooking class organized in collaboration with Οργάνωση Γη-Organization Earth. Children had the opportunity to enjoy a guided walking tour at Οργάνωση Γη-Organization Earth gardens and stables and get familiar with innovative agricultural production methods. #nochildalone,https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4860742840620451/?type=3,,,Photos from The HOME Project's post,,,,,-2.48,HIGH,0,0,0,0,0,0,0,0
4.86E+15,0,1,1,1,2,0,0,0,0,cyan,The HOME Project,HomeProjectOrg,1.52E+15,NON_PROFIT,0,GR,The HOME Project is a non-profit organization set up to address the needs of unaccompanied refugee children.,06-12-16 19:26,7960,8373,2021-07-09 03:44:11 EDT,09-07-21 0:00,3:44:11,Photo,23,18,0,0,5,0,0,0,0,0,,-,0,0,0,,https://www.facebook.com/1523394214355347/posts/4863695373658531,We visited the Εθνικόν Αστεροσκοπείον Αθηνών to learn about a two century-long history of Greek Astronomy. Children had the opportunity to examine the first optical telescopes of Greece and explore the night city sky. #nochildalone,https://www.facebook.com/HomeProjectOrg/photos/a.1582650538429714/4863695213658547/?type=3,,,Photos from The HOME Project's post,,,,,-3.13,HIGH,0,0,0,0,0,0,0,0
