image_id,Child,Smile,Emotions,Female,Male,PeopleNumber
10159438707709002.jpg,FALSE,TRUE,['SAD'],TRUE,FALSE,1
10159441312864002.jpg,TRUE,TRUE,"['CALM', 'SAD']",TRUE,TRUE,2
10159443298259002.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10159443508794002.jpg,FALSE,TRUE,"['CALM', 'SAD']",TRUE,TRUE,2
10159449439749002.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10159450925684002.jpg,FALSE,TRUE,"['FEAR', 'CALM', 'SAD', 'CONFUSED']",TRUE,TRUE,2
10159456196799002.jpg,TRUE,TRUE,[],TRUE,FALSE,1
10159457596244002.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10159458917989002.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
10159460113289002.jpg,TRUE,TRUE,"['CALM', 'SAD']",TRUE,TRUE,2
10159462170524002.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10159465029074002.jpg,FALSE,TRUE,['FEAR'],TRUE,FALSE,1
10160953905484852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10160964498524852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161004013479852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161014779649852.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10161031270054852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161034536754852.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10161054636509852.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10161065318039852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161071549179852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161078935499852.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10161088836724852.jpg,FALSE,TRUE,[],FALSE,TRUE,1
10161108493069852.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10161120970154852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161139503519852.jpg,FALSE,TRUE,[],FALSE,TRUE,1
