Child,Smile,Female,Male,PeopleNumber,Text,close_up,Indoors,Outdoors,dominantColor,LOGO,Followers at Posting,Total Interactions,Contrast,ANGRY,CALM,CONFUSED,DISGUSTED,FEAR,HAPPY,SAD,SURPRISED
1,1,1,1,2,0,0,0,0,grey,1,144434,1102,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,grey,1,27710397,4364,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,green,0,867150,165,HIGH,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,cyan,1,27710397,5344,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,2,0,0,0,0,cyan,1,27710397,903731,HIGH,0,0,0,0,0,1,0,0
1,1,1,1,2,1,0,0,0,pink,1,151353,215,HIGH,0,0,0,0,0,1,0,0
0,1,0,1,1,0,0,0,0,cyan,1,27713936,15045,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,cyan,1,1940283,718,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,1,0,0,0,grey,1,151428,178,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,1,cyan,1,27713936,1362170,HIGH,0,0,0,0,0,0,0,0
0,1,1,0,2,0,0,0,0,cyan,0,867123,265,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,brown,1,27725218,495215,HIGH,1,0,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,cyan,1,1940557,283,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,purple,1,144550,120,LOW,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,cyan,0,867089,124,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,1,0,0,0,grey,1,151584,395,HIGH,0,0,0,0,0,1,0,0
1,1,1,1,2,1,0,0,1,blue,0,867073,805,HIGH,0,1,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,cyan,1,27744315,19668,HIGH,0,1,0,0,0,0,0,0
0,1,0,1,2,0,0,0,0,grey,1,27744315,8991,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,orange,1,151658,100,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,2,0,0,0,0,grey,1,144669,299,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,brown,1,27753284,4361,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,grey,1,144714,70,LOW,0,0,0,0,0,0,0,0
1,1,1,0,2,1,0,0,0,cyan,0,867076,335,HIGH,0,1,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,grey,1,27756188,16289,HIGH,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,cyan,1,1941400,569,HIGH,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,grey,1,151792,309,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,1,brown,1,151792,138,HIGH,0,1,0,0,0,0,0,0
1,1,1,1,2,0,0,0,0,grey,1,144729,101,HIGH,0,0,0,0,0,1,0,0
0,1,1,1,2,0,0,0,1,grey,1,27759839,22510,LOW,0,1,0,0,0,0,0,0
1,1,1,0,2,0,0,1,0,cyan,1,27759839,15858,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,grey,1,27759839,29670,HIGH,0,0,0,0,0,0,0,0
0,1,1,1,2,0,0,0,0,grey,0,866975,514,HIGH,0,0,0,0,0,1,1,0
1,1,0,1,2,0,0,0,0,cyan,1,1941868,472,HIGH,0,0,0,0,1,0,0,0
1,1,1,0,1,0,0,0,0,green,1,151869,142,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,2,0,0,0,0,grey,1,144749,158,HIGH,0,0,0,0,0,1,0,0
0,1,0,1,2,0,0,0,0,cyan,1,27862123,17743,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,grey,1,27766124,4514,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,blue,1,27767062,6207,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,brown,1,1942371,528,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,1,grey,1,144780,1014,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,2,0,0,0,0,brown,1,1942371,367,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,1,0,0,0,grey,0,866888,36,HIGH,0,0,0,0,0,0,0,1
0,1,1,0,1,1,0,0,0,grey,1,144802,254,HIGH,0,1,0,0,0,0,0,0
0,1,1,1,2,0,0,0,0,purple,0,866888,402,HIGH,0,1,0,0,0,0,0,0
1,1,1,0,2,0,0,0,0,grey,1,27768079,878514,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,brown,1,152064,77,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,2,0,0,0,0,grey,1,144848,151,HIGH,0,1,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,brown,1,27768079,14967,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,purple,1,27781834,22178,LOW,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,brown,0,866879,180,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,2,0,1,0,1,grey,0,866874,353,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,grey,1,1943385,371,HIGH,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,brown,1,152198,151,HIGH,0,0,0,0,0,0,0,0
0,1,1,1,2,1,0,0,0,cyan,1,27788553,623921,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,1,0,green,1,27788553,25594,HIGH,0,0,0,0,0,0,0,0
1,1,1,1,2,0,0,0,0,grey,1,27788553,14605,HIGH,0,1,0,0,0,1,0,0
0,1,1,0,2,0,0,0,0,grey,0,93858,288,HIGH,0,0,0,0,0,0,1,0
1,1,0,1,2,0,0,0,0,grey,0,94178,339,HIGH,0,0,0,0,0,1,0,0
0,1,1,1,2,0,0,0,0,grey,1,152250,153,HIGH,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,purple,1,27793015,4225,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,2,1,0,0,0,grey,1,1943862,568,HIGH,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,pink,1,27793015,12014,HIGH,0,0,0,0,0,0,0,0
1,1,1,0,2,0,0,0,0,cyan,1,144920,1448,HIGH,0,1,0,0,0,1,0,0
0,1,1,0,1,1,0,0,0,grey,0,866866,46,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,1,0,yellow,1,27800605,13889,HIGH,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,brown,1,152325,9729,HIGH,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,1,cyan,1,1908483,72,HIGH,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,brown,1,27804463,22715,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,brown,1,1944311,282,HIGH,0,1,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,cyan,0,866873,427,HIGH,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,pink,1,152394,60,HIGH,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,cyan,1,27807024,6745,HIGH,0,0,0,0,0,1,0,0
1,1,1,1,2,0,0,0,0,grey,1,144998,180,HIGH,0,1,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,grey,1,152463,121,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,cyan,0,866889,916,HIGH,0,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,grey,1,27810144,820235,HIGH,0,1,0,0,0,0,0,0
1,1,1,0,1,0,1,0,0,blue,0,866870,302,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,brown,1,27810144,16451,HIGH,0,0,0,0,0,1,0,0
0,1,0,1,2,0,0,0,0,cyan,1,152531,168,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,brown,0,866858,152,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,grey,1,145069,118,HIGH,0,0,0,0,1,0,0,0
0,1,1,0,2,1,0,0,0,cyan,1,27824846,27353,HIGH,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,grey,1,27824846,6333,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,purple,1,145093,159,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,grey,0,866851,327,HIGH,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,grey,1,1945616,370,HIGH,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,cyan,1,27827861,1817254,HIGH,0,0,0,0,0,1,0,0
1,1,1,0,2,0,0,0,0,brown,1,152692,141,HIGH,0,0,0,0,0,0,1,0
1,1,1,0,1,0,0,0,0,brown,0,866873,238,HIGH,0,0,0,0,0,1,0,0
0,1,0,1,2,0,0,0,0,cyan,1,1946038,291,HIGH,0,1,0,0,0,1,0,0
1,1,1,1,2,0,0,1,0,grey,1,27839907,1795281,HIGH,0,1,0,0,1,0,0,0
1,1,1,0,1,0,0,0,0,green,0,866874,359,HIGH,0,0,0,0,0,1,0,0
